"id","name","hash","sha256","ext","mime","size","url","provider","public_id","created_at","updated_at"
1,artemis_1of4.mp3,"6768b8b6543443b3873b685e6f4d252f",dwy6d4dQgjnpIRvnmi6DpxLLSCcDspRQwSqtG5mbYIU,.mp3,audio/mp3,"1643.15",/uploads/6768b8b6543443b3873b685e6f4d252f.mp3,local,,2018-11-30 09:17:54,2018-11-30 09:17:54
2,artemis_2of4.mp3,"9e97abd685af42c5af438cef2116ddee","2mO-CDOvzrmKIDOdd07RaWSFI5tG0YqpLOgIGdlIK_c",.mp3,audio/mp3,"1213.49",/uploads/9e97abd685af42c5af438cef2116ddee.mp3,local,,2018-11-30 09:18:02,2018-11-30 09:18:02
3,artemis_3of4.mp3,"465deafb84414e53a51500647e298c35",pdKTUUmiYBLgiqrwvqq6o288oI76G8B02H0EQNzvL3Y,.mp3,audio/mp3,"722.39",/uploads/465deafb84414e53a51500647e298c35.mp3,local,,2018-11-30 09:18:07,2018-11-30 09:18:07
4,artemis_4of4.mp3,"8bf2a1e2825540509d95e0c1f579a81c",oHWf1ClXsaaNjI9WJ7KSRNVnrmr0mR0xYgvVyXeaLCw,.mp3,audio/mp3,"1134.08",/uploads/8bf2a1e2825540509d95e0c1f579a81c.mp3,local,,2018-11-30 09:18:14,2018-11-30 09:18:14
5,atlas_1of5.mp3,b7f80d32853f4e04b481acbf6a3ae094,q4bybiXiURT3nUm3zC0BtCgr8wkS5LY3KEs7OlNN-S8,.mp3,audio/mp3,"1283.50",/uploads/b7f80d32853f4e04b481acbf6a3ae094.mp3,local,,2018-11-30 09:18:30,2018-11-30 09:18:30
6,atlas_2of5.mp3,"371986b73b314f73acb5079c7f8a25a5","0G7hT9RbJs6jLQcR-I8DslV1Y1e4t-hyTVSYE5DrynE",.mp3,audio/mp3,"1586.93",/uploads/371986b73b314f73acb5079c7f8a25a5.mp3,local,,2018-11-30 09:18:37,2018-11-30 09:18:37
7,atlas_3of5.mp3,"769b53c8798b42b38623429df0bb37d6","4MPEbPgbywaqXVNFXkvmUGWpHt6FgPYdrzBIP0XmgVI",.mp3,audio/mp3,"1901.66",/uploads/769b53c8798b42b38623429df0bb37d6.mp3,local,,2018-11-30 09:18:42,2018-11-30 09:18:42
8,atlas_4of5.mp3,"0ac5b88ee1ec43e4862a96cb80908d8c",HnJcIgL4OpURg_f8oWge01BzN3GeIA6yl9Jmrz3nnyc,.mp3,audio/mp3,"2026.42",/uploads/0ac5b88ee1ec43e4862a96cb80908d8c.mp3,local,,2018-11-30 09:18:49,2018-11-30 09:18:49
9,atlas_5of5.mp3,e473bada19b84288ad99c7a1ecdc10d8,vjHmxezCJ3cNscr4caH85fdsjsyez5U2WlWFRQpXwok,.mp3,audio/mp3,"1884.10",/uploads/e473bada19b84288ad99c7a1ecdc10d8.mp3,local,,2018-11-30 09:18:56,2018-11-30 09:18:56
10,hyperion_1of5.mp3,b7fad0c2b1364a88866e137c598bbb0a,prmWyS6gdPD67Un9ZqLASu7qIPpGU8vapXKVr-O0ogk,.mp3,audio/mp3,"936.17",/uploads/b7fad0c2b1364a88866e137c598bbb0a.mp3,local,,2018-11-30 09:19:13,2018-11-30 09:19:13
11,hyperion_2of5.mp3,"98a9452cdf4f425c9fd24d9a1239b739",ijfZPjuc135_JnkfzMCrU6Qj8fXl1zNv-QpCffpnTzQ,.mp3,audio/mp3,"996.36",/uploads/98a9452cdf4f425c9fd24d9a1239b739.mp3,local,,2018-11-30 09:19:29,2018-11-30 09:19:29
12,hyperion_3of5.mp3,"0f906695ffed4594b862c47e249d0675","3lGwIeLTpUqTYkW9nQTfGLIUFpqb8Q_+t48fzCNu2G0",.mp3,audio/mp3,"1113.60",/uploads/0f906695ffed4594b862c47e249d0675.mp3,local,,2018-11-30 09:19:37,2018-11-30 09:19:37
13,hyperion_4of5.mp3,"3f11257c98b441cda9816b4dcd84aee3","6MbLdLA6myKvTgvtVSJ9CLknRI5QNO7p4JN4oXrQ8lE",.mp3,audio/mp3,"998.24",/uploads/3f11257c98b441cda9816b4dcd84aee3.mp3,local,,2018-11-30 09:19:44,2018-11-30 09:19:44
14,hyperion_5of5.mp3,"9a98532614fe49d48a6d237246f135dc",y0_r10LC7Tb47hGM18B2jUbxLETewABC6NDmtcHK9f4,.mp3,audio/mp3,"778.18",/uploads/9a98532614fe49d48a6d237246f135dc.mp3,local,,2018-11-30 09:19:50,2018-11-30 09:19:50
15,lycaon_1of5.mp3,b08ad8ea8bed40699954202b0de19014,"6n9pqIoZls7SosURzoy_ZFnzUgov1g-XY18102FFZ1E",.mp3,audio/mp3,"1119.24",/uploads/b08ad8ea8bed40699954202b0de19014.mp3,local,,2018-11-30 09:21:25,2018-11-30 09:21:25
16,lycaon_2of5.mp3,"0fe5ee84c2cd40c28d5b382837304703","8ynapoXq4fIb30L9_NszVyKm073bFhK4YdSMm-jG+HA",.mp3,audio/mp3,"862.19",/uploads/0fe5ee84c2cd40c28d5b382837304703.mp3,local,,2018-11-30 09:21:31,2018-11-30 09:21:31
17,lycaon_3of5.mp3,a09b038845144c0dbfd666ee48b26a2f,X0TDh6zPctVEO08KeueYHOuHMkUDf-nF9tTQNxC2qsc,.mp3,audio/mp3,"1273.46",/uploads/a09b038845144c0dbfd666ee48b26a2f.mp3,local,,2018-11-30 09:21:36,2018-11-30 09:21:36
18,lycaon_4of5.mp3,a4df96a021004df58f268e5771161882,qURuVdlGuS4MJiVOqZCwlJG8y03lebNgIIt4PCJFCvY,.mp3,audio/mp3,"1369.39",/uploads/a4df96a021004df58f268e5771161882.mp3,local,,2018-11-30 09:21:41,2018-11-30 09:21:41
19,lycaon_5of5.mp3,"207548b3ad5c42ebb8e06c7cd42021a5",Fnbd8lTeAx9LayTQBZoGeHeJ0RczLGHLZ2Vm6mJ_n3k,.mp3,audio/mp3,"1015.17",/uploads/207548b3ad5c42ebb8e06c7cd42021a5.mp3,local,,2018-11-30 09:21:46,2018-11-30 09:21:46
