"id","gsType","gsObeliskGroup","obeliskNumber","broken","gsCodexData","verified","created_at","updated_at"
1,1,1,1,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
2,1,1,2,0,14,0,2018-07-26 03:26:47,2018-07-26 03:26:47
3,1,1,3,0,16,0,2018-07-26 03:26:47,2018-07-26 03:26:47
4,1,1,4,0,17,0,2018-07-26 03:26:47,2018-07-26 03:26:47
5,1,1,5,0,20,0,2018-07-26 03:26:47,2018-07-26 03:26:47
6,1,1,6,0,10,0,2018-07-26 03:26:47,2018-07-26 03:26:47
7,1,2,1,0,20,0,2018-07-26 03:26:47,2018-07-26 03:26:47
8,1,2,2,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
9,1,2,3,0,17,0,2018-07-26 03:26:47,2018-07-26 03:26:47
10,1,2,4,0,26,0,2018-07-26 03:26:47,2018-07-26 03:26:47
11,1,2,5,0,26,0,2018-07-26 03:26:47,2018-07-26 03:26:47
12,1,2,6,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
13,1,2,7,0,24,0,2018-07-26 03:26:47,2018-07-26 03:26:47
14,1,2,8,0,16,0,2018-07-26 03:26:47,2018-07-26 03:26:47
15,1,2,9,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
16,1,2,10,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
17,1,2,11,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
18,1,2,12,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
19,1,2,13,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
20,1,2,14,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
21,1,3,1,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
22,1,3,2,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
23,1,3,3,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
24,1,3,4,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
25,1,3,5,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
26,1,3,6,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
27,1,3,7,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
28,1,3,8,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
29,1,3,9,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
30,1,3,10,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
31,1,3,11,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
32,1,3,12,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
33,1,4,1,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
34,1,4,2,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
35,1,4,3,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
36,1,4,4,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
37,1,4,5,0,24,0,2018-07-26 03:26:47,2018-07-26 03:26:47
38,1,4,6,0,16,0,2018-07-26 03:26:47,2018-07-26 03:26:47
39,1,4,7,0,26,0,2018-07-26 03:26:47,2018-07-26 03:26:47
40,1,4,8,0,17,0,2018-07-26 03:26:47,2018-07-26 03:26:47
41,1,4,9,0,14,0,2018-07-26 03:26:47,2018-07-26 03:26:47
42,1,4,10,0,10,0,2018-07-26 03:26:47,2018-07-26 03:26:47
43,1,4,11,0,20,0,2018-07-26 03:26:47,2018-07-26 03:26:47
44,1,4,12,0,14,0,2018-07-26 03:26:47,2018-07-26 03:26:47
45,1,4,13,0,10,0,2018-07-26 03:26:47,2018-07-26 03:26:47
46,1,4,14,0,26,0,2018-07-26 03:26:47,2018-07-26 03:26:47
47,2,5,1,0,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
48,2,5,2,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
49,2,5,3,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
50,2,5,4,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
51,2,5,5,0,3,0,2018-07-26 03:26:47,2018-07-26 03:26:47
52,2,5,6,0,27,0,2018-07-26 03:26:47,2018-07-26 03:26:47
53,2,5,7,0,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
54,2,5,8,0,20,0,2018-07-26 03:26:47,2018-07-26 03:26:47
55,2,5,9,0,17,0,2018-07-26 03:26:47,2018-07-26 03:26:47
56,2,5,10,0,16,0,2018-07-26 03:26:47,2018-07-26 03:26:47
57,2,6,1,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
58,2,6,2,0,14,0,2018-07-26 03:26:47,2018-07-26 03:26:47
59,2,6,3,0,16,0,2018-07-26 03:26:47,2018-07-26 03:26:47
60,2,6,4,0,17,0,2018-07-26 03:26:47,2018-07-26 03:26:47
61,2,6,5,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
62,2,6,6,0,20,0,2018-07-26 03:26:47,2018-07-26 03:26:47
63,2,6,7,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
64,2,6,8,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
65,2,6,9,0,3,0,2018-07-26 03:26:47,2018-07-26 03:26:47
66,2,6,10,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
67,2,6,11,0,27,0,2018-07-26 03:26:47,2018-07-26 03:26:47
68,2,6,12,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
69,2,7,1,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
70,2,7,2,0,27,0,2018-07-26 03:26:47,2018-07-26 03:26:47
71,2,7,3,0,3,0,2018-07-26 03:26:47,2018-07-26 03:26:47
72,2,7,4,0,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
73,2,7,5,0,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
74,2,8,1,0,20,0,2018-07-26 03:26:47,2018-07-26 03:26:47
75,2,8,2,0,17,0,2018-07-26 03:26:47,2018-07-26 03:26:47
76,2,8,3,0,16,0,2018-07-26 03:26:47,2018-07-26 03:26:47
77,2,8,4,0,3,0,2018-07-26 03:26:47,2018-07-26 03:26:47
78,2,8,5,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
79,3,9,1,0,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
80,3,9,2,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
81,3,9,3,0,20,0,2018-07-26 03:26:47,2018-07-26 03:26:47
82,3,9,4,0,17,0,2018-07-26 03:26:47,2018-07-26 03:26:47
83,3,9,5,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
84,3,9,6,0,23,0,2018-07-26 03:26:47,2018-07-26 03:26:47
85,3,9,7,0,28,0,2018-07-26 03:26:47,2018-07-26 03:26:47
86,3,9,8,0,16,0,2018-07-26 03:26:47,2018-07-26 03:26:47
87,3,9,9,1,,0,2018-07-26 03:26:47,2018-07-26 03:26:47
88,3,9,10,0,14,0,2018-07-26 03:26:47,2018-07-26 03:26:47
