100.rub,2,1,11,3304-08-20 20:26,152,Pleiades Sector SY-R b4-2,20/08/3304,2018-08-20 20:26
100.rub,2,1,11,3304-08-20 20:26,155,Pleiades Sector SY-R b4-2,513034,2018-08-20 20:26
100.rub,2,1,8,3304-05-21 17:48,125,HIP 17729,21/05/3304,2018-05-21 17:48
100.rub,2,1,8,3304-05-21 17:48,134,HIP 17729,21/05/3304,2018-05-21 17:48
100.rub,2,1,8,3304-05-21 17:48,146,HIP 17729,21/05/3304,2018-05-21 17:48
Abioticlime,,,,,27,,,
addi9k,,11,8,3304-08-22 22:15,101,Hyades Sector YU-X b1-2,513036,2018-08-22 22:15
addi9k,,11,8,3304-08-22 22:15,92,Hyades Sector YU-X b1-2,513036,2018-08-22 22:15
Aesculon Phaia,10,11,7,3304-04-12 00:58,211,,12/04/3304,2018-04-12 00:58
Aesculon Phaia,10,12,7,3304-04-12 00:58,211,,12/04/3304,2018-04-12 00:58
Aesculon Phaia,10,12,7,3304-04-12 00:58,211,HIP 16753,12/04/3304,2018-04-12 00:58
Aesculon Phaia,8,10,6,3304-04-06 11:12,165,,06/04/3304,2018-04-06 11:12
Aesculon Phaia,8,10,7,3304-04-12 00:58,166,,12/04/3304,2018-04-12 00:58
Aesculon Phaia,8,11,7,3304-04-12 00:58,166,,12/04/3304,2018-04-12 00:58
Aesculon Phaia,9,11,7,3304-04-12 00:58,166,,12/04/3304,2018-04-12 00:58
Aesculon Phaia,9,11,7,3304-04-12 00:58,169,,12/04/3304,2018-04-12 00:58
Aesculon Phaia,9,11,7,3304-04-12 00:58,172,,12/04/3304,2018-04-12 00:58
Aesculon Phaia,9,11,7,3304-04-12 00:58,193,,12/04/3304,2018-04-12 00:58
Aesculon Phaia,9,11,7,3304-04-12 00:58,202,,12/04/3304,2018-04-12 00:58
Aesculon Phaia,9,11,7,3304-04-12 00:58,205,,12/04/3304,2018-04-12 00:58
Aesculon Phaia,9,11,7,3304-04-12 00:58,208,,12/04/3304,2018-04-12 00:58
After Hours,3,,5,3304-08-10 15:11,20,Pleiades Sector UZ-O b6-1,513024,2018-08-10 15:11
Agnom,1,,3,3304-07-10 00:02,24,Pleiades Sector MN-T c3-9,512993,2018-07-10 00:02
Aktch,2,4,1,3304-04-26 09:34,61,,26/04/3304,2018-04-26 09:34
Aktch,2,4,1,3304-04-26 09:34,67,,26/04/3304,2018-04-26 09:34
Aktch,2,4,1,3304-04-26 09:34,67,,512918,2018-04-26 09:34
Aktch,2,4,1,3304-04-26 09:34,67,Arietis Sector BA-Z b1,512918,2018-04-26 09:34
Aktch,2,4,1,3304-04-26 09:34,70,Arietis Sector BA-Z b1,512918,2018-04-26 09:34
Almeck,1,3,2,3304-05-12 05:57,101,Aries Dark Region PY-Q b5-1,12/05/3304,2018-05-12 05:57
Almeck,1,3,2,3304-05-12 05:57,104,Aries Dark Region PY-Q b5-1,12/05/3304,2018-05-12 05:57
